game,id,cardCode,name,displayName,image,rarity,cardType,set,subtypes,priceUsd,tcgPlayerUrl,stock,tcgplayerProductId,tcgplayerGroupId,tcgplayerCategoryId,modifiedOn
one-piece,one-piece-op05-094,OP05-094,Haute Couture Patch Work,Haute Couture Patch Work (OP05-094) - Awakening of the New Era,https://product-images.tcgplayer.com/fit-in/437x437/528656.jpg,Rare,Event,OP05,Dressrosa|The Tontattas|Black,1.9,https://www.tcgplayer.com/product/528656/haute-couture-patch-work,1,528656,23213,68,2023-12-08T00:00:00Z
one-piece,one-piece-op14-084,OP14-084,Ms. All Sunday,Ms. All Sunday (OP14-084) - The Azure Sea's Seven,https://product-images.tcgplayer.com/fit-in/437x437/666912.jpg,Super Rare,Character,OP14,Baroque Works|Black,3.45,https://www.tcgplayer.com/product/666912/ms-all-sunday,1,666912,24537,68,2026-01-16T00:00:00Z
one-piece,one-piece-op14-110,OP14-110,Dr. Hogback,Dr. Hogback (OP14-110) - The Azure Sea's Seven,https://product-images.tcgplayer.com/fit-in/437x437/671440.jpg,Rare,Character,OP14,Thriller Bark Pirates|Yellow,2.41,https://www.tcgplayer.com/product/671440/dr-hogback,1,671440,24537,68,2026-01-16T00:00:00Z
one-piece,one-piece-op10-059,OP10-059,Fo...llow...Me...and...I...Will...Gui...de...You,Fo...llow...Me...and...I...Will...Gui...de...You (OP10-059) - Royal Blood,https://product-images.tcgplayer.com/fit-in/437x437/617102.jpg,Rare,Event,OP10,Straw Hat Crew|Dressrosa|Blue,2.11,https://www.tcgplayer.com/product/617102/followmeandiwillguideyou,1,617102,23766,68,2025-03-21T00:00:00Z
one-piece,one-piece-op13-037,OP13-037,Roronoa Zoro,Roronoa Zoro (OP13-037) - Carrying On His Will,https://product-images.tcgplayer.com/fit-in/437x437/657295.jpg,Rare,Character,OP13,FILM|Straw Hat Crew|Supernovas|Green,0.3,https://www.tcgplayer.com/product/657295/roronoa-zoro,1,657295,24303,68,2025-11-07T00:00:00Z
one-piece,one-piece-eb04-018,EB04-018,Megalo,Megalo (EB04-018) - The Azure Sea's Seven,https://product-images.tcgplayer.com/fit-in/437x437/671333.jpg,Rare,Character,OP14,Animal|Fish-Man Island|Green,0.77,https://www.tcgplayer.com/product/671333/megalo,1,671333,24537,68,2026-01-16T00:00:00Z
one-piece,one-piece-op13,OP13,Carrying On His Will Booster Pack,Carrying On His Will Booster Pack - Carrying On His Will,https://product-images.tcgplayer.com/fit-in/437x437/628351.jpg,None,Card,OP13,,12.72,https://www.tcgplayer.com/product/628351/carrying-on-his-will-booster-pack,1,628351,24303,68,2025-11-07T00:00:00Z
one-piece,one-piece-eb04-054,EB04-054,Bartholomew Kuma (EB04-054),Bartholomew Kuma (EB04-054) (EB04-054) - Adventure on Kami's Island,https://product-images.tcgplayer.com/fit-in/437x437/685325.jpg,Rare,Character,OP15-EB04,Revolutionary Army|Egghead|Yellow,0.31,https://www.tcgplayer.com/product/685325/bartholomew-kuma-eb04-054,1,685325,24637,68,2026-04-03T00:00:00Z
one-piece,one-piece-eb04-044,EB04-044,Koby (EB04-044),Koby (EB04-044) (EB04-044) - Adventure on Kami's Island,https://product-images.tcgplayer.com/fit-in/437x437/685311.jpg,Super Rare,Character,OP15-EB04,Navy|SWORD|Black,0.66,https://www.tcgplayer.com/product/685311/koby-eb04-044,1,685311,24637,68,2026-04-03T00:00:00Z
one-piece,one-piece-st23-001,ST23-001,Uta,Uta (ST23-001) - Starter Deck 23: RED Shanks,https://product-images.tcgplayer.com/fit-in/437x437/633761.jpg,Super Rare,Character,ST-23,FILM|Red,10.46,https://www.tcgplayer.com/product/633761/uta,1,633761,24282,68,2025-06-06T00:00:00Z
